Aruba,ABW,"GDP per capita, PPP (current international $)",
Africa Eastern and Southern,AFE,"GDP per capita, PPP (current international $)",3684.562623
Afghanistan,AFG,"GDP per capita, PPP (current international $)",2078.648615
Africa Western and Central,AFW,"GDP per capita, PPP (current international $)",4242.114489
Angola,AGO,"GDP per capita, PPP (current international $)",6445.432873
Albania,ALB,"GDP per capita, PPP (current international $)",13412.09728
Andorra,AND,"GDP per capita, PPP (current international $)",
Arab World,ARB,"GDP per capita, PPP (current international $)",14134.18026
United Arab Emirates,ARE,"GDP per capita, PPP (current international $)",66771.49975
Argentina,ARG,"GDP per capita, PPP (current international $)",20770.72642
Armenia,ARM,"GDP per capita, PPP (current international $)",13312.11386
American Samoa,ASM,"GDP per capita, PPP (current international $)",
Antigua and Barbuda,ATG,"GDP per capita, PPP (current international $)",18241.8682
Australia,AUS,"GDP per capita, PPP (current international $)",53316.88543
Austria,AUT,"GDP per capita, PPP (current international $)",55685.97029
Azerbaijan,AZE,"GDP per capita, PPP (current international $)",14479.70541
Burundi,BDI,"GDP per capita, PPP (current international $)",771.1632425
Belgium,BEL,"GDP per capita, PPP (current international $)",53088.9688
Benin,BEN,"GDP per capita, PPP (current international $)",3505.424354
Burkina Faso,BFA,"GDP per capita, PPP (current international $)",2274.016832
Bangladesh,BGD,"GDP per capita, PPP (current international $)",5138.65321
Bulgaria,BGR,"GDP per capita, PPP (current international $)",24564.26369
Bahrain,BHR,"GDP per capita, PPP (current international $)",43755.85562
"Bahamas, The",BHS,"GDP per capita, PPP (current international $)",32538.56916
Bosnia and Herzegovina,BIH,"GDP per capita, PPP (current international $)",15591.63311
Belarus,BLR,"GDP per capita, PPP (current international $)",20239.20182
Belize,BLZ,"GDP per capita, PPP (current international $)",6457.636558
Bermuda,BMU,"GDP per capita, PPP (current international $)",80829.61681
Bolivia,BOL,"GDP per capita, PPP (current international $)",8275.491497
Brazil,BRA,"GDP per capita, PPP (current international $)",14835.41493
Barbados,BRB,"GDP per capita, PPP (current international $)",13349.57038
Brunei Darussalam,BRN,"GDP per capita, PPP (current international $)",65612.70206
Bhutan,BTN,"GDP per capita, PPP (current international $)",11130.21623
Botswana,BWA,"GDP per capita, PPP (current international $)",15458.48264
Central African Republic,CAF,"GDP per capita, PPP (current international $)",987.6445126
Canada,CAN,"GDP per capita, PPP (current international $)",46572.13743
Central Europe and the Baltics,CEB,"GDP per capita, PPP (current international $)",33720.16797
Switzerland,CHE,"GDP per capita, PPP (current international $)",71745.2994
Channel Islands,CHI,"GDP per capita, PPP (current international $)",
Chile,CHL,"GDP per capita, PPP (current international $)",25110.15954
China,CHN,"GDP per capita, PPP (current international $)",17210.76489
Cote d'Ivoire,CIV,"GDP per capita, PPP (current international $)",5465.514544
Cameroon,CMR,"GDP per capita, PPP (current international $)",3867.51924
"Congo, Dem. Rep.",COD,"GDP per capita, PPP (current international $)",1141.819133
"Congo, Rep.",COG,"GDP per capita, PPP (current international $)",3622.3172
Colombia,COL,"GDP per capita, PPP (current international $)",14931.04685
Comoros,COM,"GDP per capita, PPP (current international $)",3153.131329
Cabo Verde,CPV,"GDP per capita, PPP (current international $)",6376.642352
Costa Rica,CRI,"GDP per capita, PPP (current international $)",22132.46947
Caribbean small states,CSS,"GDP per capita, PPP (current international $)",15626.54902
Cuba,CUB,"GDP per capita, PPP (current international $)",
Curacao,CUW,"GDP per capita, PPP (current international $)",21423.0842
Cayman Islands,CYM,"GDP per capita, PPP (current international $)",71594.04148
Cyprus,CYP,"GDP per capita, PPP (current international $)",39373.41068
Czech Republic,CZE,"GDP per capita, PPP (current international $)",41608.02535
Germany,DEU,"GDP per capita, PPP (current international $)",54844.54597
Djibouti,DJI,"GDP per capita, PPP (current international $)",5781.762921
Dominica,DMA,"GDP per capita, PPP (current international $)",10853.22835
Denmark,DNK,"GDP per capita, PPP (current international $)",60229.91477
Dominican Republic,DOM,"GDP per capita, PPP (current international $)",17935.65607
Algeria,DZA,"GDP per capita, PPP (current international $)",11324.23581
East Asia & Pacific (excluding high income),EAP,"GDP per capita, PPP (current international $)",15175.13107
Early-demographic dividend,EAR,"GDP per capita, PPP (current international $)",9205.921737
East Asia & Pacific,EAS,"GDP per capita, PPP (current international $)",18540.65757
Europe & Central Asia (excluding high income),ECA,"GDP per capita, PPP (current international $)",23044.45776
Europe & Central Asia,ECS,"GDP per capita, PPP (current international $)",35828.03963
Ecuador,ECU,"GDP per capita, PPP (current international $)",10895.77218
Egypt,EGY,"GDP per capita, PPP (current international $)",12607.00395
Euro area,EMU,"GDP per capita, PPP (current international $)",47124.56605
Eritrea,ERI,"GDP per capita, PPP (current international $)",
Spain,ESP,"GDP per capita, PPP (current international $)",37756.351
Estonia,EST,"GDP per capita, PPP (current international $)",37645.22136
Ethiopia,ETH,"GDP per capita, PPP (current international $)",2422.812086
European Union,EUU,"GDP per capita, PPP (current international $)",44791.03843
Fragile and conflict affected situations,FCS,"GDP per capita, PPP (current international $)",4327.28593
Finland,FIN,"GDP per capita, PPP (current international $)",50517.02736
Fiji,FJI,"GDP per capita, PPP (current international $)",12078.84323
France,FRA,"GDP per capita, PPP (current international $)",46991.18203
Faroe Islands,FRO,"GDP per capita, PPP (current international $)",
"Micronesia, Fed. Sts.",FSM,"GDP per capita, PPP (current international $)",3553.316023
Gabon,GAB,"GDP per capita, PPP (current international $)",15106.36638
UK,GBR,"GDP per capita, PPP (current international $)",46482.86224
Georgia,GEO,"GDP per capita, PPP (current international $)",14732.40216
Ghana,GHA,"GDP per capita, PPP (current international $)",5744.432344
Gibraltar,GIB,"GDP per capita, PPP (current international $)",
Guinea,GIN,"GDP per capita, PPP (current international $)",2817.32238
"Gambia, The",GMB,"GDP per capita, PPP (current international $)",2275.05625
Guinea-Bissau,GNB,"GDP per capita, PPP (current international $)",1948.802343
Equatorial Guinea,GNQ,"GDP per capita, PPP (current international $)",17940.52079
Greece,GRC,"GDP per capita, PPP (current international $)",27948.64973
Grenada,GRD,"GDP per capita, PPP (current international $)",15283.25152
Greenland,GRL,"GDP per capita, PPP (current international $)",
Guatemala,GTM,"GDP per capita, PPP (current international $)",8853.670021
Guam,GUM,"GDP per capita, PPP (current international $)",
Guyana,GUY,"GDP per capita, PPP (current international $)",19704.58151
High income,HIC,"GDP per capita, PPP (current international $)",50887.44354
"Hong Kong",HKG,"GDP per capita, PPP (current international $)",59234.10859
Honduras,HND,"GDP per capita, PPP (current international $)",5420.234234
Heavily indebted poor countries (HIPC),HPC,"GDP per capita, PPP (current international $)",2680.649636
Croatia,HRV,"GDP per capita, PPP (current international $)",28780.21454
Haiti,HTI,"GDP per capita, PPP (current international $)",3095.194062
Hungary,HUN,"GDP per capita, PPP (current international $)",33075.92442
IBRD only,IBD,"GDP per capita, PPP (current international $)",13704.82833
IDA & IBRD total,IBT,"GDP per capita, PPP (current international $)",11129.00761
IDA total,IDA,"GDP per capita, PPP (current international $)",3806.491129
IDA blend,IDB,"GDP per capita, PPP (current international $)",5020.955419
Indonesia,IDN,"GDP per capita, PPP (current international $)",12072.73548
IDA only,IDX,"GDP per capita, PPP (current international $)",3207.368864
Isle of Man,IMN,"GDP per capita, PPP (current international $)",
India,IND,"GDP per capita, PPP (current international $)",6503.948054
Not classified,INX,"GDP per capita, PPP (current international $)",
Ireland,IRL,"GDP per capita, PPP (current international $)",93350.08753
Iran,IRN,"GDP per capita, PPP (current international $)",13338.01348
Iraq,IRQ,"GDP per capita, PPP (current international $)",9506.725326
Iceland,ISL,"GDP per capita, PPP (current international $)",53616.68471
Israel,ISR,"GDP per capita, PPP (current international $)",39489.28078
Italy,ITA,"GDP per capita, PPP (current international $)",41902.07719
Jamaica,JAM,"GDP per capita, PPP (current international $)",9241.575604
Jordan,JOR,"GDP per capita, PPP (current international $)",10355.00857
Japan,JPN,"GDP per capita, PPP (current international $)",42390.37984
Kazakhstan,KAZ,"GDP per capita, PPP (current international $)",26754.377
Kenya,KEN,"GDP per capita, PPP (current international $)",4577.90522
Kyrgyz Republic,KGZ,"GDP per capita, PPP (current international $)",4973.561309
Cambodia,KHM,"GDP per capita, PPP (current international $)",4421.480611
Kiribati,KIR,"GDP per capita, PPP (current international $)",2383.434847
St. Kitts and Nevis,KNA,"GDP per capita, PPP (current international $)",25653.31944
"South Korea",KOR,"GDP per capita, PPP (current international $)",45225.84454
Kuwait,KWT,"GDP per capita, PPP (current international $)",47306.98817
Latin America & Caribbean (excluding high income),LAC,"GDP per capita, PPP (current international $)",15068.09292
Lao PDR,LAO,"GDP per capita, PPP (current international $)",8239.166547
Lebanon,LBN,"GDP per capita, PPP (current international $)",12118.57336
Liberia,LBR,"GDP per capita, PPP (current international $)",1468.358578
Libya,LBY,"GDP per capita, PPP (current international $)",10846.29154
St. Lucia,LCA,"GDP per capita, PPP (current international $)",12709.83112
Latin America & Caribbean,LCN,"GDP per capita, PPP (current international $)",15643.01669
Least developed countries: UN classification,LDC,"GDP per capita, PPP (current international $)",3124.257905
Low income,LIC,"GDP per capita, PPP (current international $)",2056.894656
Liechtenstein,LIE,"GDP per capita, PPP (current international $)",
Sri Lanka,LKA,"GDP per capita, PPP (current international $)",13224.6135
Lower middle income,LMC,"GDP per capita, PPP (current international $)",7135.998003
Low & middle income,LMY,"GDP per capita, PPP (current international $)",10847.00714
Lesotho,LSO,"GDP per capita, PPP (current international $)",2444.078267
Late-demographic dividend,LTE,"GDP per capita, PPP (current international $)",18331.0034
Lithuania,LTU,"GDP per capita, PPP (current international $)",38880.54527
Luxembourg,LUX,"GDP per capita, PPP (current international $)",117846.1365
Latvia,LVA,"GDP per capita, PPP (current international $)",31482.67971
"Macao SAR, China",MAC,"GDP per capita, PPP (current international $)",60895.51564
St. Martin (French part),MAF,"GDP per capita, PPP (current international $)",
Morocco,MAR,"GDP per capita, PPP (current international $)",7369.49263
Monaco,MCO,"GDP per capita, PPP (current international $)",
Moldova,MDA,"GDP per capita, PPP (current international $)",13000.40159
Madagascar,MDG,"GDP per capita, PPP (current international $)",1544.160329
Maldives,MDV,"GDP per capita, PPP (current international $)",13443.48259
Middle East & North Africa,MEA,"GDP per capita, PPP (current international $)",16011.38747
Mexico,MEX,"GDP per capita, PPP (current international $)",18444.07305
Marshall Islands,MHL,"GDP per capita, PPP (current international $)",4147.938104
Middle income,MIC,"GDP per capita, PPP (current international $)",11854.08816
Macedonia,MKD,"GDP per capita, PPP (current international $)",16925.51505
Mali,MLI,"GDP per capita, PPP (current international $)",2347.988174
Malta,MLT,"GDP per capita, PPP (current international $)",42461.25371
Myanmar,MMR,"GDP per capita, PPP (current international $)",5123.825603
Middle East & North Africa (excluding high income),MNA,"GDP per capita, PPP (current international $)",10327.42431
Montenegro,MNE,"GDP per capita, PPP (current international $)",19989.57158
Mongolia,MNG,"GDP per capita, PPP (current international $)",12366.94712
Northern Mariana Islands,MNP,"GDP per capita, PPP (current international $)",
Mozambique,MOZ,"GDP per capita, PPP (current international $)",1297.404531
Mauritania,MRT,"GDP per capita, PPP (current international $)",5390.086099
Mauritius,MUS,"GDP per capita, PPP (current international $)",20530.50523
Malawi,MWI,"GDP per capita, PPP (current international $)",1591.605401
Malaysia,MYS,"GDP per capita, PPP (current international $)",27923.68768
North America,NAC,"GDP per capita, PPP (current international $)",61497.65869
Namibia,NAM,"GDP per capita, PPP (current international $)",9298.086814
New Caledonia,NCL,"GDP per capita, PPP (current international $)",
Niger,NER,"GDP per capita, PPP (current international $)",1288.258582
Nigeria,NGA,"GDP per capita, PPP (current international $)",5186.411583
Nicaragua,NIC,"GDP per capita, PPP (current international $)",5569.721552
Netherlands,NLD,"GDP per capita, PPP (current international $)",59266.90858
Norway,NOR,"GDP per capita, PPP (current international $)",62644.84574
Nepal,NPL,"GDP per capita, PPP (current international $)",4008.505516
Nauru,NRU,"GDP per capita, PPP (current international $)",14340.17241
New Zealand,NZL,"GDP per capita, PPP (current international $)",44491.32491
OECD members,OED,"GDP per capita, PPP (current international $)",44855.39104
Oman,OMN,"GDP per capita, PPP (current international $)",31120.29585
Other small states,OSS,"GDP per capita, PPP (current international $)",22237.00826
Pakistan,PAK,"GDP per capita, PPP (current international $)",4812.889818
Panama,PAN,"GDP per capita, PPP (current international $)",26782.48498
Peru,PER,"GDP per capita, PPP (current international $)",11878.52154
Philippines,PHL,"GDP per capita, PPP (current international $)",8389.848594
Palau,PLW,"GDP per capita, PPP (current international $)",16321.98561
Papua New Guinea,PNG,"GDP per capita, PPP (current international $)",4286.634449
Poland,POL,"GDP per capita, PPP (current international $)",34286.98508
Pre-demographic dividend,PRE,"GDP per capita, PPP (current international $)",3540.275722
Puerto Rico,PRI,"GDP per capita, PPP (current international $)",34336.54771
"North Korea",PRK,"GDP per capita, PPP (current international $)",
Portugal,PRT,"GDP per capita, PPP (current international $)",34177.08571
Paraguay,PRY,"GDP per capita, PPP (current international $)",13069.17612
West Bank and Gaza,PSE,"GDP per capita, PPP (current international $)",5689.945334
Pacific island small states,PSS,"GDP per capita, PPP (current international $)",6740.668537
Post-demographic dividend,PST,"GDP per capita, PPP (current international $)",49558.02158
French Polynesia,PYF,"GDP per capita, PPP (current international $)",
Qatar,QAT,"GDP per capita, PPP (current international $)",89968.77102
Romania,ROU,"GDP per capita, PPP (current international $)",32099.40572
Russia,RUS,"GDP per capita, PPP (current international $)",29812.21025
Rwanda,RWA,"GDP per capita, PPP (current international $)",2213.828054
South Asia,SAS,"GDP per capita, PPP (current international $)",6133.036522
Saudi Arabia,SAU,"GDP per capita, PPP (current international $)",46759.65723
Sudan,SDN,"GDP per capita, PPP (current international $)",4142.448609
